,Key,English_US,Description,French,Italian,German,Spanish_Spain,Spanish_LATAM,Korean,Russian,Japanese,Portuguese_Brazil,Chinese_Simplified,Chinese_Traditional,Polish,Turkish,Swedish,Thai,Arabic
Zenith4_RAW-0000-Garry_Unrevealed,Zenith4_RAW-0000-Garry_Unrevealed,Приветствую.,"Even though this is Zenith, they've changed into a businessman and so their speech now sounds exactly like one of the businessmen.",Salut.,Ehilà.,Hallo.,Hola.,Hola.,안녕하세요.,,ドーモ。,Oi.,哈啰。,哈囉。,,,,,
Zenith4_RAW-0001-Alta,Zenith4_RAW-0001-Alta,...{{Zenith}}?,,… {{Zenith}} ?,… {{Zenith}}?,...{{Zenith}}?,¿{{Zenith}}?,¿{{Zenith}}?,...{{Zenith}}?,,…{{ゼニス}}?,...{{Zenith}}?,……{{Zenith}}？,……{{Zenith}}?,,,,,
Zenith4_RAW-0002-Garry,Zenith4_RAW-0002-Garry,Меня зовут {{Garry}}. Я деловой человек. Я ищу помещение для заседаний совета директоров.,,Bonjour. Je suis {{Garry}}. Je suis un homme d'affaires. Je cherche la salle de conférence.,Ehilà. Sono {{Garry}}. Sono un uomo degli affari. Sto cercando la sala riunioni.,Hallo. Ich bin {{Garry}}. Ich bin ein Mann des Geschäfts. Ich suche den Sitzungssaal.,Hola. Soy {{Garry}}. Soy un hombre de negocios. Estoy buscando la sala de juntas.,Hola. Soy {{Garry}}. Soy un hombre de negocios. Estoy buscando la sala de juntas.,안녕하세요. {{Garry}}라고 합니다. 회사원이죠. 회의실을 찾고 있어요.,,ドーモ。僕は{{ギャリー}}。カイシャインです。役員会議室を探していマス。,Oi. Eu sou o {{Garry}}. Sou um homem de negócios. Estou procurando a sala de reuniões.,哈啰。我是{{Garry}}。我是个生意人。我在找会议室。,哈囉。我是{{Garry}}。我是個生意人。我正在找會議室。,,,,,
Zenith4_RAW-0003-Garry,Zenith4_RAW-0003-Garry,"Я выступаю с презентацией, поэтому не могу опоздать.",,"Je fais une présentation, je ne peux pas être en retard.","Devo fare una presentazione, per cui non posso arrivare in ritardo.","Ich halte eine Präsentation, also darf ich mich nicht verspäten.","Voy a dar una presentación, así que no puedo llegar tarde.","Voy a dar una presentación, así que no puedo llegar tarde.",프레젠테이션이 있어서 지각하면 안 되거든요.,,プレゼンをするので、遅刻はできマセン。,"Vou fazer uma apresentação, por isso, não posso me atrasar.",马上该我演讲了，所以我不能迟到。,我準備要發表一場報告，所以我不能遲到。,,,,,
Zenith4_RAW-0004-Alta,Zenith4_RAW-0004-Alta,Итак... вы действительно меня совсем не помните?,,Alors… tu ne te souviens pas du tout de moi ?,Allora... davvero non ti ricordi di me?,Ihr …ihr erinnert euch also wirklich nicht an mich?,Entonces... ¿de verdad no te acuerdas nada de mí?,Entonces... ¿de verdad no recuerdas nada? ¿No te acuerdas de mí?,정말로... 날 전혀 기억 못 해요?,,それじゃ…本当に私のことを覚えてないの？,Então... você não se lembra de mim?,看来……你真的不记得我了？,所以……你完全不記得我是誰？,,,,,
Zenith4_RAW-0005-Garry,Zenith4_RAW-0005-Garry,Я вас помню?,,Me souvenir de toi ?,Ricordarmi di te?,Mich erinnern?,¿Acordarme de ti?,¿Acordarme de ti?,기억이요?,,あなたを…デスカ？,Lembrar de você?,记得你？,記得你？,,,,,
Zenith4_RAW-0006-Alta,Zenith4_RAW-0006-Alta,"Да! Раньше ты был {{Zenith}}! Ты был невероятным, многомерным космическим существом!",,Ouais ! Tu étais {{Zenith}} ! Tu étais cet incroyable être de l'espace multidimensionnel !,Sì! Eri {{Zenith}}! Un incredibile essere spaziale multidimensionale!,"Ja! Ihr wart mal {{Zenith}}! Ihr wart dieses unglaubliche, mehrdimensionale Weltraumwesen!",¡Sí! ¡Solías ser {{Zenith}}! ¡Eras un increíble ser espacial multidimensional!,¡Sí! ¡Eras {{Zenith}} hasta hace un rato! ¡Eras un increíble ser espacial multidimensional!,네! 원래 {{Zenith}}였잖아요! 다른 차원에서 온 놀라운 우주인!,,そうだよ！ あんたは{{ゼニス}}だった！ 宇宙から来た多次元の存在だったんだ！,"É! Você era {{Zenith}}! Você era esse ser espacial, multidimensional incrível!",是啊！你曾经是{{Zenith}}！你曾经是一位难以想象的外太空高维生命体！,對啊！你本來是{{Zenith}}！你是超酷的多次元太空實體！,,,,,
Zenith4_RAW-0007-Alta,Zenith4_RAW-0007-Alta,"И ты... ты понял, что со мной не так, у тебя были ответы!",,"Et tu… tu savais ce qui clochait chez moi, tu avais les réponses !","E tu... tu avevi capito cosa c'era che non andava in me, e avevi trovato le risposte!","Und ihr …ihr wusstet, was mit mir kaputt ist, ihr hattet die Antworten!","Y tú... descubriste lo que me pasaba, ¡tenías las respuestas!",Y habías descubierto... lo que me pasaba... ¡Tenías las respuestas!,게다가... 내 문제가 뭔지 알아내고 해결책도 가지고 있었잖아요!,,それに…私の問題を見つけ出し、解決するための答えを知ってた！,"E você... você descobriu o que eu tinha de errado, você tinhas as respostas!",而且你……你看出了我的问题所在，并且知道如何解决！,而且你……你發現我出了什麼問題，你有答案！,,,,,
Zenith4_RAW-0008-Alta,Zenith4_RAW-0008-Alta,Ты собирался меня вылечить.,,Tu allais me réparer.,Avresti messo tutto a posto.,Ihr wolltet mich heilen.,Ibas a arreglarme.,Ibas a arreglarme.,날 고쳐준다고 했었고.,,私を元に戻す約束だった。,Você ia me consertar!,你本打算治好我的。,你本來要解決我的問題。,,,,,
Zenith4_RAW-0009-Alta,Zenith4_RAW-0009-Alta,"Я даже не знаю, что ты собирался делать, но это было что-то. Ты знал, что делать.",,"J'ignore complètement ce que tu allais faire, mais il y avait quelque chose. Tu savais quoi faire.","Non sapevo nemmeno cosa avresti fatto, ma era già qualcosa. Sapevi cosa fare.","Ich weiß nicht mal, wie ihr das anstellen wolltet, aber da was was. Ihr wusstet, was zu tun ist.","Ni siquiera sé lo que ibas a hacer, pero era algo. Sabías lo que hacer.","Ni siquiera sé lo que ibas a hacer, pero era algo. Sabías qué hacer.","뭘 하려 했던 건지는 모르지만, 분명히 뭔가 있었어요. 그쪽은 해답을 알고 있었다고요.",,どうするかはわからないけど、何か方法があった。それを知ってたのに…,"Eu nem sei o que você ia fazer, mas era algo. Você sabia o que fazer.",我甚至无法理解你要做什么，但那一定很了不起。你本来知道该怎么做的。,我不知道你本來要怎麼做，但就是有辦法。你本來知道該怎麼做。,,,,,
Zenith4_RAW-0010-Alta,Zenith4_RAW-0010-Alta,А потом ты просто..... ты изменился.,,Et puis tout d'un coup… tu as changé.,E poi di punto in bianco... sei cambiata.,Und dann habt ihr …euch verändert.,Y entonces... cambiaste.,Y entonces... cambiaste.,그런데 갑자기 이렇게... 변해버리다니.,,なのに突然…あんたは変わった。,"E aí, você simplesmente... você mudou.",可之后……你就变了。,然後你就……你改變了。,,,,,
Zenith4_RAW-0011-Alta,Zenith4_RAW-0011-Alta,"И я не понимаю, почему ты должен был измениться!! Я этого не понимаю!",,Et je ne comprends pas pourquoi tu devais changer ! Je ne comprends pas !,E non capisco perché sei dovuta cambiare! Non lo capisco!,"Und ich verstehe nicht, warum ihr euch verändern musstet! Ich verstehe es nicht!",¡Y no entiendo por qué tuviste que cambiar! ¡No lo entiendo!,¡Y no entiendo por qué tuviste que cambiar! ¡No lo entiendo!,"왜 변한 거죠, 대체!! 이해할 수 없어요!",,なんで変わらなきゃいけなかった？！ どうしてだよ！,E eu não entendo por que você teve que mudar!! Eu não entendo!,我想不通你为什么非得变身不可！！我不明白！,我不懂你為什麼要改變！！我不懂！,,,,,
Zenith4_RAW-0012-Alta,Zenith4_RAW-0012-Alta,Ты должен был исцелить меня! Я должен был снова быть в состоянии бороться! Я должен был снова жить своей жизнью!,,Tu allais me soigner ! J'allais pouvoir combattre à nouveau ! J'allais retrouver ma vie d'avant !,Mi avresti guarita! Sarei stata in grado di combattere di nuovo! Avrei ripreso la mia vita!,Ihr wolltet mich heilen! Ich hätte wieder kämpfen können! Ich sollte mein Leben zurückbekommen!,¡Ibas a curarme! ¡Iba a poder pelear otra vez! ¡Iba a vivir mi vida otra vez!,¡Ibas a curarme! ¡Iba a poder pelear otra vez! ¡Iba a vivir mi vida otra vez!,회복시켜 준다고 했잖아요! 겨우 다시 싸울 수 있게 되는 줄 알았는데! 원래의 삶으로 돌아가는 줄 알았는데!,,あんたに治してもらって、私はまた戦えるようになるはずだった！ 自分の人生を取り戻せたんだ！,Você ia me curar! Eu ia poder lutar de novo! Eu ia viver a minha vida de novo!,你明明差一点就能治好我！我差一点就可以重返角斗场了！差一点就能重获新生了！,你本來要治癒我啊！我本來可以重返戰場！我本來可以回到從前的生活！,,,,,
Zenith4_RAW-0013-Alta,Zenith4_RAW-0013-Alta,Я больше не собирался быть слабым...,,Je n'allais plus être faible…,Non sarei più stata debole...,Ich sollte nicht mehr schwach sein …,Ya no iba a ser débil...,Iba a dejar de ser débil...,약해진 기분에서 벗어날 줄 알았는데...,,弱い自分とは、おさらばして…,Eu não ia mais ser fraca...,差一点就能不再这么弱小了……,我本來可以擺脫虛弱的狀態……,,,,,
Zenith4_RAW-0014-Alta,Zenith4_RAW-0014-Alta,"Я никогда не чувствовала себя такой слабой. Я точно знаю, какой должна быть, и я просто... Я не могу этого сделать.",,"Je ne me suis jamais sentie aussi faible. Je sais exactement comment je suis censée être, et je… je n'y arrive pas.","Non mi sono mai sentita così debole. So esattamente come dovrei essere, ma... non riesco ad esserlo.","Ich hab mich noch nie so schwach gefühlt. Ich weiß genau, wie ich sein soll, und ich kann … Ich kann es einfach nicht.","Nunca me había sentido tan débil. Sé exactamente cómo se supone que debo ser, y yo solo... No puedo hacerlo.","Nunca me había sentido tan débil. Sé muy bien cómo se supone que debo ser, y la verdad es que... no puedo hacerlo.",이렇게 약해진 기분은 처음이에요. 어떻게 해야 하는지는 잘 알고 있는데... 그걸 못 하겠다고요.,,こんなに弱く感じるのは初めてだ。自分のあるべき姿はわかってるのに、今の私は…そうなれない。,Eu nunca me senti fraca assim. Eu sei exatamente como eu deveria ser e eu simplesmente... não consigo.,我从未感到如此弱小。我很清楚自己应该是什么样，但我……但我做不到。,我從未感到如此虛弱。我知道自己應該要是什麼樣子，而我只是……我做不到。,,,,,
Zenith4_RAW-0015-Alta,Zenith4_RAW-0015-Alta,"Боже мой, пожалуйста. Не уходи.",,"Oh, mon Dieu, par pitié… ne pars pas.",Ti supplico. Non te ne andare.,"Oh Gott, bitte. Geht nicht.","Dios mío, por favor. No te vayas.","Te ruego, por favor. No te vayas.",제발 부탁이에요. 이대로 가지 말아줘요.,,なあ、頼むよ。消えないでくれ。,"Ai, meu Deus, por favor. Não vai embora.",老天啊，求你了。不要走。,我的天。別走。,,,,,
Zenith4_RAW-0016-Garry,Zenith4_RAW-0016-Garry,"Я понимаю. Нет, я этого не помню.",,Je vois. Je ne me souviens pas de ça.,"Capisco. No, non lo ricordo.","Verstehe. Nein, daran erinnere ich mich nicht.","Entiendo. No, no recuerdo eso.","Entiendo. No, no recuerdo nada de eso.","그렇군요. 아뇨, 전혀 기억나지 않습니다.",,なるほど。確かに記憶にないデスネ。,"Entendo. Não, eu não me lembro disso.",我知道了。但我并不记得这些事。,我懂了。不，我不記得了。,,,,,
