,Key,English_US,Description,French,Italian,German,Spanish_Spain,Spanish_LATAM,Korean,Russian,Japanese,Portuguese_Brazil,Chinese_Simplified,Chinese_Traditional,Polish,Turkish,Swedish,Thai,Arabic
Zenith3_RAW-0000-Zenith,Zenith3_RAW-0000-Zenith,"Человек {{Alta}}, когда ты будешь готов. Мы будем. В лесу.",Please see translator notes in Zenith1 if you haven't done so already,"Être humain {{Alta}}, quand tu es prête. Nous serons. Dans la forêt.","Essere umano {{Alta}}, quando sarai pronta. Noi saremo. Nella foresta.","Menschin {{Alta}}, wenn du bereit bist. Werden wir. Im Wald sein.","Humana {{Alta}}, cuando estés lista. Estaremos. En el bosque.","Humana {{Alta}}, cuando estés lista. Estaremos. En el bosque.","인간 {{Alta}}, 네가 준비되면. 우리도 함께할게. 숲속에서.",,人間{{アルタ}}、いつでもドウゾ。ワタシタチも森ヘ行きマス。,"Humana {{Alta}}, quando estiver pronta. Estaremos lá. Na floresta.",人类{{Alta}}，等你准备好了。我等将。前往森林。,人類{{Alta}}，等你做好準備。我們會。在森林中。,,,,,
Zenith3_RAW-0001-Zenith,Zenith3_RAW-0001-Zenith,"Пожалуйста, присоединяйся к нам там!",,Tu peux nous y rejoindre !,Unisciti a noi!,Bitte triff uns dort!,¡Únete a nosotras allí!,¡Únete a nosotras allí!,거기서 우리와 함께하자!,,向こうで会いマショウ！,Nos encontre lá!,请在那里和我等碰面！,請在那裡與我們相見！,,,,,
Zenith3_RAW-0002-Zenith,Zenith3_RAW-0002-Zenith,"Человек {{Alta}}, ты готов. Вернуться в лес? \n <Zenith>Возвращайся.</>",,"Être humain {{Alta}}, es-tu prête. À retourner dans la forêt ? \n <Zenith>Retourner.</>","Essere umano {{Alta}}, sei pronta a tornare nella foresta? \n <Zenith>Ritorno.</>","Menschin {{Alta}}, bist du. Bereit, in den Wald zurückzugehen? \n <Zenith>Rückkehr.</>","¿Humana {{Alta}}, estás lista? ¿Para regresar al bosque? \n <Zenith>Regreso.</>","Humana {{Alta}}, ¿estás lista? ¿Para regresar al bosque? \n <Zenith>Regreso.</>","인간 {{Alta}}, 숲으로 돌아갈. 준비가 됐니? \n <Zenith>돌아가 보자.</>",,人間{{アルタ}}、心の準備は？ 森に行けマスカ？ \n <Zenith>モウイチド。</>,"Humana {{Alta}}, você está pronta. Para voltar para a floresta? \n <Zenith>Voltar.</>",人类{{Alta}}，你准备好。前往森林了吗？ \n <Zenith>回森林。</>,人類{{Alta}}，你準備好要。返回森林了嗎？\n <Zenith>返回。</>,,,,,
Zenith3_RAW-0003-Alta,Zenith3_RAW-0003-Alta,"Да, я отправлюсь туда через секунду.",,"Ouais, j'y vais dans une seconde.","Sì, ci vado fra un momento.","Ja, ich mache mich gleich dahin auf den Weg.","Sí, iré allí enseguida.","Sí, enseguida voy allá.","네, 금방 가려고요.",,ああ。すぐに森へ向かうよ。,"Sim, eu vou pra lá daqui a pouco.",是的，我马上就到森林里去。,準備好了，我等一下就到那裡去。,,,,,
Zenith3_RAW-0004-Zenith,Zenith3_RAW-0004-Zenith,Привет.,"Zenith's speech is now more muted, less exciteable",Salut.,Ehilà.,Hallo.,Hola.,Hola.,안녕하세요.,,ドーモ。,Oi.,哈啰。,哈囉。,,,,,
Zenith3_RAW-0005-Alta,Zenith3_RAW-0005-Alta,"{{Zenith}}, я... нам нужно вернуться в лес! Ты собирался что-то сделать, чтобы помочь мне.",,"{{Zenith}}, Je- nous devons retourner dans la forêt ! Tu allais y faire quelque chose pour m'aider.","{{Zenith}}, io... noi dobbiamo tornare nella foresta! Hai detto che avresti fatto qualcosa per aiutarmi.","{{Zenith}}, ich– wir müssen zurück in den Wald! Ihr wolltet da draußen etwas tun, um mir zu helfen.","{{Zenith}}, yo... ¡tenemos que volver al bosque! Ibas a hacer algo para ayudarme.",{{Zenith}}... ¡Tenemos que volver al bosque! Ibas a hacer algo para ayudarme.,"{{Zenith}}, 숲으로 돌아가기로 했잖아요! 방법은 몰라도 거기서 날 도와준다면서요?",,{{ゼニス}}、私は…あんたも森に戻らないと！ 私を助けるために何かしてくれる約束だったろ。,"{{Zenith}}, eu... a gente precisa voltar pra floresta! Você ia fazer alguma coisa lá pra me ajudar.",{{Zenith}}，我——我们得回森林去！你说过在森林里有办法帮我的。,{{Zenith}}，我——我們必須返回森林！你們本來要做些什麼幫助我。,,,,,
Zenith3_RAW-0006-Zenith,Zenith3_RAW-0006-Zenith,Да. Это правильно. Мы были.,,Oui. C'est exact. Nous allions.,Sì. È corretto. Ti volevamo aiutare.,Ja. Das stimmt. Das wollten wir.,Sí. Correcto. Íbamos.,Sí. Correcto. Íbamos.,그래. 맞아. 그러기로 했지.,,ええ、そのとおりデス。約束しマシタ。,Sim. Correto. Íamos.,是的。没错。我等说过。,對。正確。我們。,,,,,
Zenith3_RAW-0007-Zenith,Zenith3_RAW-0007-Zenith,Мы. Несколько рассеянный. В данный момент.,,Nous sommes. Un peu distraits. En ce moment.,Siamo. Un po' distratte. Al momento.,Wir sind. Im. Moment etwas abgelenkt.,Estamos. Algo distraídas. En este momento.,Estamos. Algo distraídas. En este momento.,우리가. 정신이 팔렸어. 잠시.,,少しだけ気を取られているノデス。今のトコロ。,Nos distraímos. Um pouco. No momento.,但现在。我等。有些难以抽身。,此刻。不知為何。心不在焉。,,,,,
Zenith3_RAW-0008-Alta,Zenith3_RAW-0008-Alta,"Но... но вы что-то сказали о моей ""структуре изменений"". Разве не в этом, как вы сказали, была проблема??",,"Mais… tu as dit quelque chose au sujet de ma ""structure de changement"". Tu ne m'as pas dit que c'était ça le problème ??","Ma... ma hai detto qualcosa sulla mia ""struttura di cambiamento"". Non era quello il problema?","Aber …ihr habt etwas von meinem „Wandelmuster“ gesagt. Meintet ihr nicht, das wäre das Problem?","Pero... pero dijiste algo sobre mi ""estructura de cambio"". ¿No es ese el problema que me dijiste?",Pero... Pero dijiste algo sobre mi «estructura de cambio». ¡¿No dijiste que ese era mi problema?!,아까... '변화 구조'인가 뭔가에 대해 말했잖아요. 그게 문제라고 하지 않았어요??,,でも…でも言ってたろ？ 私の“変化構造”がどうとかって。それが、あんたの言ってた問題なんじゃないのか？,"Mas... mas você disse alguma coisa sobre a minha ""estrutura de mudança"". Não era isso que você me disse que era o problema?",可……可你之前提到我的“变化律动”。你不是说那就是问题所在吗？？,但……但你們提到我的「變更結構」。你們不是說這是我的問題嗎？？,,,,,
Zenith3_RAW-0009-Zenith,Zenith3_RAW-0009-Zenith,Да.,,Si.,Sì.,Ja.,Sí.,Sí.,그래.,,そうデス。,Sim.,是的。,對。,,,,,
