,Key,English_US,Description,French,Italian,German,Spanish_Spain,Spanish_LATAM,Korean,Russian,Japanese,Portuguese_Brazil,Chinese_Simplified,Chinese_Traditional,Polish,Turkish,Swedish,Thai,Arabic
Rando01_RAW-0000-Alta,Rando01_RAW-0000-Alta,"Добро пожаловать в {{Wanderstop}}, это чайная.",,"Bienvenue chez {{Wanderstop}}, c'est un salon de thé.","Un cordiale benvenuto a {{Wanderstop}}, la bottega del tè.",Willkommen bei {{Wanderstop}}. Es ist ein Teeladen.,"Te doy la bienvenida a {{Wanderstop}}, es una tienda de té.","¡Hola! Esto es {{Wanderstop}}, una tienda de té.",{{Wanderstop}}에 오신 것을 환영합니다. 여긴 찻집이에요.,,ティーハウス、{{ワンダーストップ}}へようこそ。,"Boas-vindas à {{Wanderstop}}, é uma casa de chá.",欢迎来到{{Wanderstop}}，这里是家茶馆。,歡迎來到{{Wanderstop}}，這是一間茶屋。,,,,,
Rando01_RAW-0001-Customer,Rando01_RAW-0001-Customer,Чай?? О боже...,,"De thé ? Oh, Seigneur...",Tè? Oh cielo...,"Tee? Ach, du meine Güte …",¿¡Té!? Dios mío...,¡¿Té?! Cielo santo...,차요?? 우와 차라니...,,ティー？ それは弱ったな…,"Chá?? Ai, meu deus...",茶？？哦天呐……,茶？？天啊……,,,,,
Rando01_RAW-0002-Customer,Rando01_RAW-0002-Customer,"Эм, понимаете, в моём родном городе нам запрещено пить чай, так что... да...",,"Hum, tu sais, dans ma ville natale il est interdit de boire du thé, alors… bon…","Da dove vengo ci è proibito bere il tè, quindi... capirai...","Äh, also, in meiner Heimatstadt ist Teetrinken verboten, also … ja …","Verás, en mi ciudad natal se nos prohíbe beber té, así que... sí...","Lo que pasa es que en mi ciudad natal se nos prohíbe tomar el té, así que... Bueno, eso...","음, 그런데 우리 고향에서는 차 마시는 게 금지거든요... 그래서...",,その… ウチの故郷では、お茶を飲むことは禁じられているのだ… だから…,"Ahm, sabe, na minha cidade natal, nos proíbem de tomar chá, então... bem...",呃，是这样的，在我的家乡，喝茶是禁忌，所以……嗯……,是這樣的，我的故鄉是禁止喝茶的，所以……嗯……,,,,,
Rando01_RAW-0003-Alta,Rando01_RAW-0003-Alta,"Но, похоже, мы не в вашем родном городе.",,Mais je ne crois pas qu'on soit dans ta ville natale.,Ma qui non siamo nella tua città.,"Aber es klingt, als wären wir nicht in deiner Heimatstadt.",Pero parece que no estamos en tu ciudad natal.,A mí me parece que no estamos en tu ciudad natal.,다행히 여기는 당신의 고향이 아닌 것 같은데요.,,でも、ここは故郷じゃないんだろ？,Mas me parece que não estamos na sua cidade natal.,但这里并不是你的家乡呀。,但我們好像不是在你的故鄉。,,,,,
Rando01_RAW-0004-Customer,Rando01_RAW-0004-Customer,Верно! Конечно! Это правда! Но... ну...,,Ah ! Bien sûr ! C'est exact ! Mais… enfin…,Giusto! Ovviamente! È vero! Ma… ecco...,Richtig! Klar! Das stimmt! Aber … naja …,¡Claro! ¡Es cierto! Bueno...,¡Claro! ¡Cierto! ¡Es verdad! Pero... Bueno...,아! 그렇죠! 그건 그래요! 하지만... 그게...,,ああ、もちろん！ そのとおりだ！ いや…でも…,Certo! Claro! É verdade! Mas... bem.,是的！当然！没错！可是……呃……,對啦！當然！沒錯！但是……嗯……,,,,,
Rando01_RAW-0005-Customer,Rando01_RAW-0005-Customer,"Просто они сказали ""это запрещено"" и ""никакого чая, никогда"" и всё в таком духе, так что...",,"C'est juste parce qu'ils disent ""c'est interdit"" et ""pas de thé"", où ce genre de choses, alors…","È solo che ci sono regole ferree che dicono ""è proibito"" e ""mai bere tè"" e cose del genere, quindi…","Sie sagen eben „es ist verboten“ und „kein Tee, nie“ und so was, also …","Solo nos dicen que ""está prohibido"" y ""no beber té nunca jamás"" y ese tipo de cosas, así que...","El problema es que nos dicen cosas como «está prohibido» y «no beban té nunca jamás», así que...","다들 ""차는 금지야""라고 하면서 ""절대 안 돼""라는 식으로 얘기하니까...",,“お茶は禁止だ”とか“絶対に飲むな”とか、いつも言われていたから…,"É que eles disseram que ""é proibido"" e ""sem chá, nunca"" e esse tipo de coisa, então...",但大家都说“禁止喝茶”、“永远不准”之类的，所以……,但他們都說「這是禁止的」還有「茶，永遠不能喝」之類的，所以……,,,,,
Rando01_RAW-0006-Customer,Rando01_RAW-0006-Customer,"...так что да, это не было бы разрешено, понимаете... Я не мог бы...",,"… alors oui, ça ne serait pas autorisé, tu vois… je ne pourrais pas…","Quindi sì... non sarebbe permesso, allora... non potrei...","…ja, es wäre nicht erlaubt, weißt du … Ich kann nicht …","En fin, que no estaría permitido, ¿sabes?... No podría...","En fin, es como que no está permitido, ¿entiendes?... No podría...",...마시면 안 되는 것 같아서... 안 될 것 같아요...,,...そう、だから許されないのだ。きっと…ダメだろう…,"Então, é, não seria permitido, sabe... eu não posso...",……所以，不可以就是不可以，你懂的吧……我不能喝……,……所以，你知道的，應該是不准……我無法……,,,,,
Rando01_RAW-0007-Choice,Rando01_RAW-0007-Choice,"Мне кажется, ты определённо хочешь чай.",,"Moi, j'ai l'impression que tu as très envie de thé.",Mi sembra proprio che tu voglia del tè.,"Klingt für mich, als wolltest du gerne etwas Tee.",Me parece que quieres té sin lugar a dudas.,Me suena a que te mueres por un té.,어쨌든 본인은 차를 마시고 싶은 거잖아요.,,すごく飲みたいように聞こえるけど。,Me parece que você definitivamente quer chá.,听起来你可太想来杯茶了。,你聽起來很想喝茶耶。,,,,,
Rando01_RAW-0008-Choice,Rando01_RAW-0008-Choice,"Ну что ж, пока.",,"Bon, alors salut.","Va bene, allora arrivederci.","Äh, tschüss.","Bueno, adiós.","Bueno, adiós.","그럼 뭐, 잘 가요.",,そうか。じゃあな。,"Bem, tchau.",好吧，拜拜。,那就掰囉。,,,,,
Rando01_RAW-0009-Customer,Rando01_RAW-0009-Customer,"Что?? Нет! Ха-ха, ни за что! Что?!? Нет!",From [0007-Choice],"Quoi ? Non ! Ah, ah, pas question ! Quoi ? Non !!","Che cosa? No! Ahah, assolutamente no! Che cosa?!? No!","Was? Nein! Haha, niemals! Was?! Nein!",¿¿Qué?? ¡No! ¡Anda ya! ¿¡Qué!? ¡No!,"¡¿Qué?! ¡No, nada que ver! ¡¿Cómo?! ¡No!","네?? 아니요! 하하, 절대! 제가요?!? 아니에요!",,は？ ち、ちが… ハハハ、何を… そんなわけないし！,"Quê?? Não! Haha, claro que não! Quê!?? Não!",什么？？不！哈哈，怎么可能！开什么玩笑！,什麼？？不！哈哈沒這回事！什麼？！？！不！,,,,,
Rando01_RAW-0010-Customer,Rando01_RAW-0010-Customer,о-... ладно...,From [0008-Choice],O-… OK…,o-... va bene...,O- okay …,Va... vale.,Bueno...,아... 네...,,ああ… うん…,T... tá bem...,好……好的……,好……好啦……,,,,,
Rando01_RAW-0011-Customer,Rando01_RAW-0011-Customer,"Думаю, в смысле, не то чтобы я НЕ хотел чай, но эм...",,"Je crois que, enfin… c'est pas que je n'ai pas envie de thé, mais euh…","Cioè... voglio dire… non è che NON voglio il tè, ma ehm...","Ich meine, also, es ist nicht so, dass ich KEINEN Tee möchte, aber, äh …","A ver, no es que NO quiera té, pero, eh...","A ver, digo, no es que NO quiera té, pero...","그게, 마시기 싫다는 건 아니지만...",,まあ、その、お茶が欲しくないとは言わないが…,"Acho que, quer dizer, não é que eu NÃO queira chá, mas, ahm...",我猜，我是说，我也不是不想喝茶，但是……,我的意思是，我也不是不想喝茶，但是，呃……,,,,,
Rando01_RAW-0012-Customer,Rando01_RAW-0012-Customer,"Но правила таковы, что мне не полагается его иметь... понимаете?",,Mais le règlement m'interdit d'en boire… tu comprends ?,Ma le regole mi proibiscono di berlo... capisci?,"Aber die Regeln sagen eben, dass ich keinen trinken soll …weißt du?","Pero según las normas, se supone que no debo tomarlo... ¿sabes?",Pero las reglas dicen que se supone que no debo tomarlo... ¿Entiendes?,규칙은 규칙이라서요... 무슨 말인지 아시죠?,,しかし飲んではいけない決まりなのだ… わかるだろ？,Mas as regras dizem que eu não devo beber... sabe?,但规矩就是不准喝茶……你懂的吧？,但根據規定，我不應該喝茶……懂嗎？,,,,,
Rando01_RAW-0013-Choice,Rando01_RAW-0013-Choice,"Да, я понял, никакого чая.",,"Oui, je comprends. Pas de thé.","Sì, capisco, niente tè.","Ja, kapiert, keinen Tee.","Sí, lo pillo, nada de té.","Sí, entiendo. Nada de té.","그래요, 마시지 마세요.",,わかった。お茶はナシだな。,"Sim, eu entendi, sem chá.",嗯，好吧，不喝茶就不喝茶。,懂，不喝茶。,,,,,
Rando01_RAW-0014-Choice,Rando01_RAW-0014-Choice,"Слушай, я просто собираюсь сделать тебе чашку чая.",,"Écoute, je vais simplement te préparer une tasse de thé.","Ascolta, è solo una tazza di tè.","Also, ich mach dir jetzt einfach eine Tasse Tee.","Mira, te voy a preparar una taza de té.","Mira, te voy a preparar una taza de té y ya.","됐고, 그냥 차 한잔 만들어줄게요.",,なあ、とりあえず1杯淹れてくるよ。,"Olha, eu vou fazer uma xícara de chá pra você.",听着，我就是要请你喝杯茶。,這樣吧，我只是給你泡一杯茶。,,,,,
Rando01_RAW-0015-Customer,Rando01_RAW-0015-Customer,...эм...,From [0013-Choice],… hum…,… Uhmm...,…Äh …,Eh...,Eh...,...저기...,,…うーん…,Hm...,……呃……,……呃……,,,,,
