,Key,English_US,Description,French,Italian,German,Spanish_Spain,Spanish_LATAM,Korean,Russian,Japanese,Portuguese_Brazil,Chinese_Simplified,Chinese_Traditional,Polish,Turkish,Swedish,Thai,Arabic
Rando02_RAW-0000-Alta,Rando02_RAW-0000-Alta,"Здравствуйте, добро пожаловать в {{Wanderstop}}. Это чайная.",,"Bonjour, bienvenue chez {{Wanderstop}}. C'est un salon de thé.","Un cordiale benvenuto a {{Wanderstop}}, la bottega del tè.","Hallo, willkommen bei {{Wanderstop}}. Ein Teeladen.",Te doy la bienvenida a {{Wanderstop}}. Es una tienda de té.,"¡Hola! Esto es {{Wanderstop}}, una tienda de té.",{{Wanderstop}}에 오신 것을 환영합니다. 여긴 찻집이에요.,,ティーハウス、{{ワンダーストップ}}へようこそ。,"Olá, boas-vindas à {{Wanderstop}}. É uma casa de chá.",你好，欢迎光临{{Wanderstop}}。这里是家茶馆。,你好，歡迎來到{{Wanderstop}}。這是一間茶屋。,,,,,
Rando02_RAW-0001-Customer,Rando02_RAW-0001-Customer,Хм.,,Hum…,Hm.,Mh.,Mmm.,Mmm...,흠.,,ふむ。,Hm.,嗯。,嗯。,,,,,
Rando02_RAW-0002-Alta,Rando02_RAW-0002-Alta,Хотите чаю?,,Tu veux du thé ?,Vuoi del tè?,Möchtest du Tee?,¿Quieres té?,¿Quieres té?,차 드릴까요?,,お茶はどうだい？,Você quer chá?,您要茶吗？,你想喝茶嗎？,,,,,
Rando02_RAW-0003-Customer,Rando02_RAW-0003-Customer,Чай? Хм.,,Du thé ? Hum…,Tè? Hm.,Tee? Mh.,¿Té? Mmm.,¿Té? Mmm...,차? 흠.,,お茶？ ふむ…,Chá? Hm.,茶？嗯。,茶？嗯。,,,,,
Rando02_RAW-0004-Customer,Rando02_RAW-0004-Customer,Нет. Мне нехорошо. Просто хочу присесть.,,Non. Je ne me sens pas très bien. Je veux juste m'asseoir.,No. Non mi sento molto bene. Voglio solo sedermi.,Nein. Mir geht's nicht so gut. Will mich nur hinsetzen.,No. No me encuentro muy bien. Solo quiero sentarme.,No. No me siento muy bien. Quiero sentarme nada más.,아뇨. 몸이 좀 안 좋아서요. 그냥 앉아서 쉬겠습니다.,,いや、少し具合が悪くてね。座って休みたいだけだ。,Não. Não estou me sentindo muito bem. Só quero sentar.,不了。我感觉有点不舒服。现在只想坐会儿。,不了。不是很舒服。只想坐下。,,,,,
Rando02_RAW-0005-Alta,Rando02_RAW-0005-Alta,"Хорошо, конечно.",,"OK, pas de souci.",Ma certo.,"Okay, klar.","Sí, claro.","Sí, está bien.","네, 그러세요.",,そうか、わかった。,"Sim, claro.",好的。,好啊，沒問題。,,,,,
Rando02_RAW-0006-Customer,Rando02_RAW-0006-Customer,"Вы сказали чай, раньше.",,Tu as parlé de thé.,"Hai detto tè, prima?",Du hast was von Tee gesagt.,Antes has dicho té.,Dijiste «té» antes.,아까 차라고 하셨나요.,,あんた、お茶と言ったね。,Você disse chá antes.,你之前说有茶。,你剛才提到茶。,,,,,
Rando02_RAW-0007-Alta,Rando02_RAW-0007-Alta,"Да, это чайная.",,"Oui, c'est un salon de thé.","Sì, questa è una bottega del tè.","Ja, das hier ist ein Teeladen.","Sí, esto es una tienda de té.","Sí, esto es una tienda de té.","네, 여긴 찻집이에요.",,ああ、ここはティーハウスだ。,"Sim, essa é uma casa de chá.",是的，毕竟这里是茶馆。,對，這是一間茶屋。,,,,,
Rando02_RAW-0008-Customer,Rando02_RAW-0008-Customer,...,,…,...,…,...,...,...,,…,...,……,……,,,,,
Rando02_RAW-0009-Alta,Rando02_RAW-0009-Alta,Вам что-нибудь нужно?,,Il te faut quelque chose ?,Hai bisogno di qualcosa?,Brauchst du was?,¿Necesitas algo?,¿Necesitas algo?,필요한 게 있나요?,,何か飲む？,Você precisa de alguma coisa?,您想喝点什么吗？,你需要什麼嗎？,,,,,
Rando02_RAW-0010-Customer,Rando02_RAW-0010-Customer,Мне нехорошо.,,Je ne me sens pas très bien.,Non mi sento molto bene.,Mir geht's nicht so gut.,No me encuentro muy bien.,No me siento muy bien.,몸이 좀 안 좋습니다.,,少し具合が悪いんだ。,Não estou me sentindo bem.,我感觉有点不舒服。,我不太舒服。,,,,,
Rando02_RAW-0011-Customer,Rando02_RAW-0011-Customer,"Уже долгое время, боль в груди.",,"Ça fait un moment, une douleur dans la poitrine.",Da molto tempo ormai provo un dolore al petto.,Schon lange. Schmerzen in der Brust.,Desde hace mucho tiempo me duele el pecho.,Me duele el pecho. Hace bastante.,가슴 통증이 오래 가시질 않네요.,,もう長いこと、胸の痛みがあってね。,Há muito tempo já. Uma dor no peito.,胸口疼了好久。,已經很久了，胸痛。,,,,,
Rando02_RAW-0012-Customer,Rando02_RAW-0012-Customer,"Что-нибудь, чтобы облегчить боль. Возможно.",,Peut-être quelque chose pour soulager la douleur.,Qualcosa per alleviare il dolore… magari?,"Etwas, um die Schmerzen zu lindern. Vielleicht.",Algo para aliviar el dolor. Tal vez.,Algo para aliviar el dolor. Quizás.,통증을 줄여주는 것. 그걸로 주세요.,,痛みを和らげるお茶がいいかもな。,Alguma coisa pra aliviar a dor. Talvez.,来点缓解胸痛的东西吧。可以吗？,緩解胸痛的東西。之類的。,,,,,
Rando02_RAW-0013-Alta,Rando02_RAW-0013-Alta,"Это то, что вы хотите? Чай, чтобы помочь с вашей болью?",,C'est ce que tu veux ? Du thé pour te soulager ?,È questo ciò che vuoi? Un tè per alleviare il dolore?,"Ist es das, was du möchtest? Tee, der gegen die Schmerzen hilft?",¿Es eso lo que quieres? ¿Té para ayudarte con el dolor?,¿Eso es lo que quieres? ¿Té para ayudarte con el dolor?,"주문하신 건가요? 그럼, 통증에 도움이 되는 차로?",,それが注文？ 痛みに効くお茶だって？,É isso que você quer? Chá pra ajudar com a sua dor?,这样啊？您想要能缓解疼痛的茶？,這樣啊？你想要緩解胸痛的茶？,,,,,
Rando02_RAW-0014-Customer,Rando02_RAW-0014-Customer,Если у вас есть.,,Si tu en as.,Se ce l'hai.,Wenn du welchen hast.,Si lo tienes.,Si tienes algo así...,그런 게 있다면요.,,もしあればね。,Se você tiver.,如果有的话。,如果有的話。,,,,,
Rando02_RAW-0015-Alta,Rando02_RAW-0015-Alta,Я посмотрю.,,Je vais voir ça.,Adesso controllo.,Ich schaue mal.,Voy a echar un vistazo.,Voy a fijarme.,확인해 볼게요.,,ちょっと見てみるよ。,Vou dar uma olhada.,我这就去找找。,我會去找看看。,,,,,
Rando02_RAW-0016-Customer,Rando02_RAW-0016-Customer,...,,…,...,…,...,...,...,,…,...,……,……,,,,,
Rando02_RAW-0017-Alta,Rando02_RAW-0017-Alta,Что-то ещё?,,Autre chose ?,Nient'altro?,Etwas anderes?,¿Algo más?,¿Algo más?,또 필요한 게 있나요?,,他にも何か？,Mais alguma coisa?,还要别的吗？,還需要其他東西嗎？,,,,,
Rando02_RAW-0018-Customer,Rando02_RAW-0018-Customer,Разум. Он сосредотачивается только на боли.,,L'esprit… il ne se concentre que sur la douleur.,La mente. È concentrata sul dolore.,Der Verstand. Er konzentriert sich nur auf den Schmerz.,La mente. Se centra solo en el dolor.,La mente. Se concentra solo en el dolor.,주의가... 자꾸 통증에 쏠리는군요.,,痛みが頭から離れないんだ。,Minha mente. Ela foca somente na dor.,我的注意力。我满脑子只想着疼。,我的意識，一直被疼痛影響。,,,,,
Rando02_RAW-0019-Customer,Rando02_RAW-0019-Customer,Может ли чай дать моему разуму другой предмет для размышлений?,,Le thé pourrait me faire penser à autre chose ?,Esiste un tè che può distrarre la mia mente dal dolore?,"Macht der Tee, dass mein Verstand sich auf etwas anderes konzentriert?",¿Puede el té darle a mi mente otra cosa en qué pensar?,¿Puede el té darle a mi mente otra cosa en qué pensar?,주의를 돌려주는 차도 있습니까?,,お茶で気を紛らわせることはできるかい？,O chá pode dar pra minha mente outra coisa pra pensar?,喝茶能够让我想点别的东西吗？,茶能夠幫助我轉移注意力嗎？,,,,,
Rando02_RAW-0020-Customer,Rando02_RAW-0020-Customer,"Что-то, о чём думать, кроме боли.",,"Un truc auquel penser, autre chose que la douleur.",Qualcosa a cui pensare al posto del dolore.,"Etwas anderes als den Schmerz, an das ich denken kann.",Algo en qué pensar además del dolor.,Algo en qué pensar además del dolor.,통증 말고 다른 생각을 하게 해주는 것이요.,,痛み以外のことを考えたいんだ。,"Alguma coisa pra pensar, que não seja dor.",只要不是疼痛就好。,思考疼痛以外的事物。,,,,,
Rando02_RAW-0021-Alta,Rando02_RAW-0021-Alta,"Я сделаю всё, что смогу.",,Je vais faire au mieux.,Farò del mio meglio.,Ich tu‘ mein Bestes.,Haré lo que pueda.,Haré lo que pueda.,찾아볼게요.,,やってみるよ。,Farei o melhor possível.,我尽量试试。,我會盡力的。,,,,,
Rando02_RAW-0022-Alta,Rando02_RAW-0022-Alta,"Вот, держите.",,Et voilà !,Ecco qui.,Bitte sehr.,Aquí tienes.,Aquí tienes.,나왔습니다.,,さあ、どうぞ。,Aqui está.,请用。,給你。,,,,,
Rando02_RAW-0023-Customer,Rando02_RAW-0023-Customer,Хорошо.,,OK.,Grazie.,Okay.,Vale.,Bien.,네.,,どうも。,Tá bem.,好的。,好喔。,,,,,
Rando02_RAW-0024-Customer,Rando02_RAW-0024-Customer,Хмм.,,Hum…,Hmm.,Mmh.,Mmm.,Mmm...,흐음.,,ふむ。,Hmm.,唔。,嗯。,,,,,
Rando02_RAW-0025-Customer,Rando02_RAW-0025-Customer,Этот чай холодный. Нехорошо пить холодным.,,Ce thé est froid. Ce n'est pas bon froid.,Questo tè è freddo. Non è buono freddo.,Dieser Tee ist kalt. Kalt kann man ihn nicht trinken.,Este té está frío. No es bueno beber las cosas frías.,Este té está frío. No es bueno beber las cosas frías.,이 차는 차갑군요. 차게 마시면 안 좋아요.,,お茶が冷たいな。冷たいのは体に良くない。,Esse chá está frio. Não é bom beber frio.,茶是冷的。喝冷的可不好。,這杯茶是冷的。喝冷飲不好。,,,,,
Rando02_RAW-0026-Alta,Rando02_RAW-0026-Alta,"Хорошо, я переделаю его, используя больше тепла.",,"OK, je vais le refaire en plus chaud.","Va bene, lo rifarò usando acqua più calda.","Gut, ich mache ihn noch mal mit mehr Hitze.","Vale, lo volveré a preparar calentándolo más.","Bien, te preparo otro y lo caliento más esta vez.","네, 따뜻하게 다시 만들어올게요.",,わかった。もっと熱くして淹れ直すよ。,"Certo, vou refazer ele usando mais calor.",好的，那我再做杯热的。,好，我會重做一杯熱的。,,,,,
Rando02_RAW-0027-Customer,Rando02_RAW-0027-Customer,Хмм.,,Hum…,Hmm.,Mmh.,Mmm.,Mmm...,흐음.,,ふむ。,Hmm.,唔。,嗯。,,,,,
Rando02_RAW-0028-Customer,Rando02_RAW-0028-Customer,В этом нет чая. Здесь нет чайных листьев.,,Il n'y a pas de thé là-dedans. Il n'y a aucune feuille de thé.,Ma questo non è tè. Non ci sono foglie di tè.,Hier ist gar kein Tee drin. Da fehlen die Teeblätter.,Esto no tiene té. No hay hojas de té.,Esto no tiene té. No tiene hojas de té.,차를 넣지 않았군요. 찻잎이 안 들어갔어요.,,これはお茶じゃないな。茶葉が入ってない。,Não tem chá aqui. Não tem folhas de chá.,这不是茶吧。里面没茶叶。,這杯飲品不是茶。它沒有茶葉。,,,,,
Rando02_RAW-0029-Alta,Rando02_RAW-0029-Alta,"О, моя ошибка. Пойду переделаю.",,"Oh, je me suis trompée. Je vais le refaire.","Oh, ho sbagliato. Lo andrò a rifare.","Oh, mein Fehler. Ich mach ihn noch mal.","Oh, qué fallo. Lo volveré a hacer.","Uy, perdón. Te preparo otro.","이런, 실수였어요. 다시 만들어올게요.",,おっと、私のミスだ。淹れ直すよ。,"Ah, erro meu. Vou refazer.",哎呀，摆了个乌龙。我去重做一杯。,噢，我的錯。我會重做一杯。,,,,,
Rando02_RAW-0030-Alta,Rando02_RAW-0030-Alta,Помогло с болью?,,Ça soulage la douleur ?,Ti ha aiutato con il dolore?,Hat er gegen die Schmerzen geholfen?,¿Te ha ayudado con el dolor?,¿Te ayudó con el dolor?,통증에 도움이 됐나요?,,痛みは和らいだ？,Ajudou com a dor?,这茶让疼痛好受些了吗？,這杯茶有舒緩疼痛嗎？,,,,,
Rando02_RAW-0031-Customer,Rando02_RAW-0031-Customer,...,,…,...,…,...,...,...,,…,...,……,……,,,,,
Rando02_RAW-0032-Customer,Rando02_RAW-0032-Customer,...да. Есть успокоение в моей груди.,,… oui. Je sens que ma poitrine va mieux.,… Sì. Provo una sensazione di calma nel petto.,… Ja. Meine Brust beruhigt sich.,Sí... Me ha calmado el pecho.,Sí... Hay calma en mi pecho.,...네. 가슴이 진정되는 느낌입니다.,,…ああ。胸がすっとしてきた。,Sim. Meu peito está se acalmando.,……是的。我的胸口舒服多了。,……。我的胸口舒服多了。,,,,,
Rando02_RAW-0033-Customer,Rando02_RAW-0033-Customer,Боль затихает.,,La douleur s'apaise.,Il dolore si sta calmando.,Der Schmerz ebbt ab.,El dolor se está calmando.,El dolor se está calmando.,통증이 가라앉고 있어요.,,痛みがマシになったよ。,A dor está diminuindo.,疼痛感也减轻了。,疼痛減輕了。,,,,,
Rando02_RAW-0034-Customer,Rando02_RAW-0034-Customer,"Не исчезла, никогда полностью не исчезнет. Просто немного тише.",,"La douleur n'est pas partie, pas complètement. Mais c'est un peu mieux.",Non è passato completamente. È solo meno forte.,"Noch nicht weg, nie ganz weg. Nur etwas sachter.","No se ha ido, nunca se ha ido del todo. Pero me duele un poco menos.",No se va. Nunca se va del todo. Pero me duele un poco menos.,사라지진 않아요. 원래 그래요. 그래도 좀 낫네요.,,完全に消えはしないが、少しだけラクだ。,"Não desapareceu, nunca desaparece totalmente. Só um pouco mais silenciosa.",疼还是疼，不能完全止痛。只是好受了些。,沒有完全消失，從來不會完全消失。只是減輕一點。,,,,,
Rando02_RAW-0035-Customer,Rando02_RAW-0035-Customer,Да. Это хорошо.,,"Oui, ça fait du bien.",Sì. Così è buono.,Ja. Das ist gut.,Sí. Bien.,Sí. Esto está bien.,음. 좋군요.,,ああ、これはいい。,Sim. Isso é bom.,不错。感觉很好。,是的。很好。,,,,,
Rando02_RAW-0036-Customer,Rando02_RAW-0036-Customer,Спасибо.,,Merci.,Grazie.,Danke.,Gracias.,Gracias.,감사합니다.,,ありがとう。,Agradeço.,谢谢你。,謝謝你。,,,,,
Rando02_RAW-0037-Alta,Rando02_RAW-0037-Alta,А как насчёт отвлечения мыслей от боли?,,Et si tu chassais la douleur de ton esprit ?,E per quanto riguarda il distrarre la mente dal dolore?,Und bist du vom Schmerz abgelenkt?,¿Qué tal si dejas de pensar en el dolor?,¿Qué tal si dejas de pensar en el dolor?,통증에서 주의를 돌리는 건요?,,気を紛らわせるほうは、どう？,E tirou a sua mente da dor?,现在不会老想着疼了吧？,那有沒有成功轉移注意力？,,,,,
Rando02_RAW-0038-Customer,Rando02_RAW-0038-Customer,Хмм.,,Hum…,Hmm.,Mmh.,Mmm.,Mmm...,흐음.,,ふむ。,Hmm.,唔。,嗯。,,,,,
Rando02_RAW-0039-Customer,Rando02_RAW-0039-Customer,"Сейчас есть новые мысли, да.",,"J'ai de nouvelles pensées, c'est vrai.","Ci sono nuovi pensieri adesso, hmm.","Da sind jetzt auch neue Gedanken, ja.","Hay nuevos pensamientos ahora, sí.","Hay nuevos pensamientos ahora, sí.","그래요, 새로운 생각이 나는군요.",,ああ、別のことが頭に浮かんできた。,Ela tem novos pensamentos.,是的，我能想点别的了。,有的，的確有新念頭。,,,,,
Rando02_RAW-0040-Customer,Rando02_RAW-0040-Customer,Я думаю о {{Trellin}}. Недобрый человек. Кто-то весьма неприятный.,,Je pense à {{Trellin}}. Ce n'est pas quelqu'un de gentil. Plutôt désagréable.,Sto pensando a {{Trellin}}. Non è una persona gentile. È piuttosto sgradevole.,Ich denke an {{Trellin}}. Keine nette Person. Jemand sehr Unangenehmes.,Estoy pensando en {{Trellin}}. No es una persona amable. Es bastante desagradable.,Estoy pensando en {{Trellin}}. No es una persona amable. Es bastante desagradable.,{{Trellin}}을 생각하고 있습니다. 친절한 사람은 아니에요. 불쾌한 작자죠.,,{{トレーリン}}のことだ。優しい人間じゃない。むしろ不愉快なヤツだ。,Estou pensando em {{Trellin}}. Não é uma pessoa gentil. É alguém bem desagradável.,我想到了{{Trellin}}。她不是个好人。相当讨人厌。,我現在想到{{Trellin}}。不是個好人。還滿難搞的。,,,,,
Rando02_RAW-0041-Customer,Rando02_RAW-0041-Customer,"Сейчас есть новые мысли, да.",,"J'ai de nouvelles pensées, c'est vrai.","Ci sono nuovi pensieri adesso, hmm.","Da sind jetzt auch neue Gedanken, ja.","Hay nuevos pensamientos ahora, sí.","Hay nuevos pensamientos ahora, sí.","그래요, 새로운 생각이 나는군요.",,ああ、別のことが頭に浮かんできた。,Ela tem novos pensamentos.,是的，我能想点别的了。,有的，的確有新念頭。,,,,,
Rando02_RAW-0042-Customer,Rando02_RAW-0042-Customer,Чувство покидания дома.,,La sensation de partir de chez moi.,La sensazione di lasciare casa.,"Das Gefühl, von zu Hause wegzugehen.",Una sensación de salir de casa.,Una sensación de salir de casa.,집을 떠나는 것 같은 기분.,,家を離れるときのような…,Uma sensação de sair de casa.,是离家的感觉。,離家的感覺。,,,,,
Rando02_RAW-0043-Customer,Rando02_RAW-0043-Customer,Запутанное чувство. Я не испытывал этого.,,Un sentiment confus. Je ne l'avais jamais vécu.,Una sensazione confusa. Non l'avevo ancora provata.,Ein verwirrendes Gefühl. Das habe ich nicht erlebt.,Un sentimiento confuso. No lo he experimentado antes.,Un sentimiento confuso. Nunca lo había experimentado.,혼란스러운 기분. 겪어본 적 없는 감정이 듭니다.,,混乱してる。こんな気分は初めてだ。,Uma sensação confusa. Eu não vivenciei isso.,真令人困惑。我从未有过这种经历。,令人困惑的感覺。我沒有料到會有這種感覺。,,,,,
Rando02_RAW-0044-Customer,Rando02_RAW-0044-Customer,"Я не знаю, хочу ли я чувствовать это.",,Je ne sais pas si j'ai envie de ressentir ça.,Non so se mi piace questa sensazione.,"Ich weiß nicht, ob ich das fühlen will.",No sé si quiero sentir esto.,No sé si quiero sentir esto.,좋은 건지 나쁜 건지 모르겠어요.,,なんだかモヤモヤするな。,Não sei se quero sentir isso.,是不是想体验这种感受，我自己也说不清。,我不確定自己是不是想體驗這種感覺。,,,,,
Rando02_RAW-0045-Customer,Rando02_RAW-0045-Customer,"Сейчас есть новые мысли, да.",,"J'ai de nouvelles pensées, c'est vrai.","Ci sono nuovi pensieri adesso, sì.","Da sind jetzt auch neue Gedanken, ja.","Hay nuevos pensamientos ahora, sí.","Hay nuevos pensamientos ahora, sí.","그래요, 새로운 생각이 나는군요.",,ああ、別のことが頭に浮かんできた。,Ela tem novos pensamentos.,是的，我能想点别的了。,有的，的確有新念頭。,,,,,
Rando02_RAW-0046-Customer,Rando02_RAW-0046-Customer,Разочарование. Трудность. Смятение.,,Frustration. Difficulté. Confusion.,Frustrazione. Difficoltà. Confusione.,Frust. Schwierigkeiten. Verwirrung.,Frustración. Dificultad. Confusión.,Frustración. Dificultad. Confusión.,좌절감. 어려움. 혼란.,,イライラと苦痛と混乱。,Frustração. Dificuldade. Confusão.,沮丧。艰难。困惑。,挫折。困難。困惑。,,,,,
Rando02_RAW-0047-Customer,Rando02_RAW-0047-Customer,Это неприятное чувство.,,C'est une sensation pénible.,È una sensazione spiacevole.,Es ist ein unangenehmes Gefühl.,Es una sensación incómoda.,Es una sensación incómoda.,불편한 감정입니다.,,落ち着かない気分だ。,É uma sensação desconfortável.,有种不舒服的感觉。,不舒服的感受。,,,,,
Rando02_RAW-0048-Customer,Rando02_RAW-0048-Customer,"Сейчас есть новые мысли, да.",,"J'ai de nouvelles pensées, c'est vrai.","Ci sono nuovi pensieri adesso, hmm.","Da sind jetzt auch neue Gedanken, ja.","Hay nuevos pensamientos ahora, sí.","Hay nuevos pensamientos ahora, sí.","그래요, 새로운 생각이 나는군요.",,ああ、別のことが頭に浮かんできた。,Ela tem novos pensamentos.,是的，我能想点别的了。,有的，的確有新念頭。,,,,,
Rando02_RAW-0049-Customer,Rando02_RAW-0049-Customer,"Мои ноги, они довольно горячие.",,"Mes pieds, ils chauffent pas mal.",I miei piedi sono piuttosto caldi.,Meine Füße sind sehr heiß.,Tengo los pies bastante calientes.,Tengo los pies bastante calientes.,발이 화끈거린다는 생각.,,足が…やたらと熱い。,"Meus pés, estão bem quentes.",我的脚，感觉有点烫。,我的雙腳，正在發熱。,,,,,
Rando02_RAW-0050-Customer,Rando02_RAW-0050-Customer,"Да, становится жарче. Сейчас очень горячо.",,"Oui, ça chauffe. Ça chauffe même beaucoup.","Sì, stanno diventando più caldi. Fa molto caldo adesso.","Ja, sie werden heißer. Sehr heiß jetzt.","Sí, cada vez están más calientes. Están muy calientes ahora.","Sí, cada vez están más calientes. Están muy calientes ahora.","이런, 더 심해지네요. 아주 심하게 화끈거려요.",,ああ、どんどん熱くなる。燃えてるみたいだ。,"Sim, ficando mais quente. Bem quente agora.",是的，越来越烫。现在非常烫了。,沒錯，越來越熱。現在非常熱。,,,,,
Rando02_RAW-0051-Customer,Rando02_RAW-0051-Customer,"Сейчас есть новые мысли, да.",,"J'ai de nouvelles pensées, c'est vrai.","Ci sono nuovi pensieri adesso, hmm.","Da sind jetzt auch neue Gedanken, ja.","Hay nuevos pensamientos ahora, sí.","Hay nuevos pensamientos ahora, sí.","그래요, 새로운 생각이 나는군요.",,ああ、別のことが頭に浮かんできた。,Ela tem novos pensamentos.,是的，我能想点别的了。,有的，的確有新念頭。,,,,,
Rando02_RAW-0052-Customer,Rando02_RAW-0052-Customer,Я думаю о {{Trellon}}.,,Je pense à {{Trellon}}.,Sto pensando a {{Trellon}}.,Ich denke an {{Trellon}}.,Estoy pensando en {{Trellon}}.,Estoy pensando en {{Trellon}}.,{{Trellon}}을 생각하고 있습니다.,,{{トレーロン}}のことだ。,Estou pensando em {{Trellon}}.,我想到了{{Trellon}}。,我現在想到{{Trellon}}。,,,,,
Rando02_RAW-0053-Customer,Rando02_RAW-0053-Customer,Хорошо думать о ней. Надёжный человек. Да.,,"C'est bon de penser à elle. On peut compter sur elle, c'est sûr.",È bello pensare a lei. Una persona affidabile. Sì.,"Es tut gut, an sie zu denken. Eine zuverlässige Person. Ja.",Es bueno pensar en ella. Es una persona fiable. Sí.,Es bueno pensar en ella. Es alguien fiable. Sí.,그녀를 생각하니 좋군요. 믿을만한 사람이죠. 그래요.,,彼女のことを考えると気分がいい。信頼できる人だ。うん。,É bom pensar nela. É uma pessoa confiável. Sim.,能想到她真好。她很可靠。是的。,想到她還滿好的。她是可靠的人。是的。,,,,,
Rando02_RAW-0054-Customer,Rando02_RAW-0054-Customer,Многие мысли уходят.,,De nombreuses pensées disparaissent.,Molti pensieri stanno svanendo.,Viele Gedanken vergehen.,Muchos pensamientos se están yendo.,Muchos pensamientos se están yendo.,많은 생각이 사라지네요.,,頭のごちゃごちゃが消えていく。,Muitos pensamentos estão desaparecendo.,很多念头都不见了。,許多念頭消散了。,,,,,
Rando02_RAW-0055-Customer,Rando02_RAW-0055-Customer,Да. Мысли и чувства исчезают. Не могу вспомнить.,,"Oui, pensées et sensations s'évanouissent. Je ne me souviens plus.",I pensieri e le sensazioni stanno svanendo. Non riesco a ricordare.,Ja. Gedanken und Gefühle lassen nach. Kann mich nicht erinnern.,Sí. Los pensamientos y sentimientos se están desvaneciendo. No me acuerdo.,Sí. Los pensamientos y sentimientos se están desvaneciendo. No puedo acordarme.,그래요. 생각과 감정이 희미해져 가요. 기억이 나지 않는군요.,,ああ、思考も感情も薄れていくぞ。もう思い出せない。,Sim. Pensamentos e sentimentos estão desaparecendo. Não consigo lembrar.,是的。念头和感受都在消失。记不起来了。,是的。念頭和感受正在消散。無法記住。,,,,,
Rando02_RAW-0056-Alta,Rando02_RAW-0056-Alta,"Это, э, хорошо?",,Et c'est… euh… agréable ?,È… una cosa buona?,"Ist das, äh, gut?","¿Eso es, eh... bueno?","Eso es, eh... ¿bueno?",그게... 좋은 건가요?,,それは、その…いいことか？,"E isso é, ahm, bom?",这，呃，是好事吗？,這是，呃，好事嗎？,,,,,
Rando02_RAW-0057-Customer,Rando02_RAW-0057-Customer,Хмм....,,Hum…,Hmm....,Mmh …,Mmm...,Mmm...,흐음...,,ふむ…,Hmm....,唔……,嗯……,,,,,
