key,source,Translation
Key,Rando01_RAW-0000-Alta,
English_US,"Добро пожаловать в {{Wanderstop}}, это чайная.",
Description,,
French,"Bienvenue chez {{Wanderstop}}, c'est un salon de thé.",
Italian,"Un cordiale benvenuto a {{Wanderstop}}, la bottega del tè.",
German,Willkommen bei {{Wanderstop}}. Es ist ein Teeladen.,
Spanish_Spain,"Te doy la bienvenida a {{Wanderstop}}, es una tienda de té.",
Spanish_LATAM,"¡Hola! Esto es {{Wanderstop}}, una tienda de té.",
Korean,{{Wanderstop}}에 오신 것을 환영합니다. 여긴 찻집이에요.,
Russian,"Welcome to {{Wanderstop}}, it's a tea shop.",
Japanese,ティーハウス、{{ワンダーストップ}}へようこそ。,
Portuguese_Brazil,"Boas-vindas à {{Wanderstop}}, é uma casa de chá.",
Chinese_Simplified,欢迎来到{{Wanderstop}}，这里是家茶馆。,
Chinese_Traditional,歡迎來到{{Wanderstop}}，這是一間茶屋。,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Rando01_RAW-0001-Customer,
English_US,Чай?? О боже...,
Description,,
French,"De thé ? Oh, Seigneur...",
Italian,Tè? Oh cielo...,
German,"Tee? Ach, du meine Güte …",
Spanish_Spain,¿¡Té!? Dios mío...,
Spanish_LATAM,¡¿Té?! Cielo santo...,
Korean,차요?? 우와 차라니...,
Russian,Tea?? Oh goodness...,
Japanese,ティー？ それは弱ったな…,
Portuguese_Brazil,"Chá?? Ai, meu deus...",
Chinese_Simplified,茶？？哦天呐……,
Chinese_Traditional,茶？？天啊……,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Rando01_RAW-0002-Customer,
English_US,"Эм, понимаете, в моём родном городе нам запрещено пить чай, так что... да...",
Description,,
French,"Hum, tu sais, dans ma ville natale il est interdit de boire du thé, alors… bon…",
Italian,"Da dove vengo ci è proibito bere il tè, quindi... capirai...",
German,"Äh, also, in meiner Heimatstadt ist Teetrinken verboten, also … ja …",
Spanish_Spain,"Verás, en mi ciudad natal se nos prohíbe beber té, así que... sí...",
Spanish_LATAM,"Lo que pasa es que en mi ciudad natal se nos prohíbe tomar el té, así que... Bueno, eso...",
Korean,"음, 그런데 우리 고향에서는 차 마시는 게 금지거든요... 그래서...",
Russian,"Um, you see, in my hometown, we're forbidden to drink tea, so... yeah...",
Japanese,その… ウチの故郷では、お茶を飲むことは禁じられているのだ… だから…,
Portuguese_Brazil,"Ahm, sabe, na minha cidade natal, nos proíbem de tomar chá, então... bem...",
Chinese_Simplified,呃，是这样的，在我的家乡，喝茶是禁忌，所以……嗯……,
Chinese_Traditional,是這樣的，我的故鄉是禁止喝茶的，所以……嗯……,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Rando01_RAW-0003-Alta,
English_US,"Но, похоже, мы не в вашем родном городе.",
Description,,
French,Mais je ne crois pas qu'on soit dans ta ville natale.,
Italian,Ma qui non siamo nella tua città.,
German,"Aber es klingt, als wären wir nicht in deiner Heimatstadt.",
Spanish_Spain,Pero parece que no estamos en tu ciudad natal.,
Spanish_LATAM,A mí me parece que no estamos en tu ciudad natal.,
Korean,다행히 여기는 당신의 고향이 아닌 것 같은데요.,
Russian,But it sounds like we aren't in your hometown.,
Japanese,でも、ここは故郷じゃないんだろ？,
Portuguese_Brazil,Mas me parece que não estamos na sua cidade natal.,
Chinese_Simplified,但这里并不是你的家乡呀。,
Chinese_Traditional,但我們好像不是在你的故鄉。,
Polish,,
